title,year,venue,type,co_authors
Development of Highly Multiplex Targeted Proteomics Assays in Biofluids Using a Nominal Mass Ion Trap Mass Spectrometer,2026,Molecular & Cellular Proteomics,article,Deanna L. Plubell; Philip M. Remes; Christine C. Wu; Cristina C. Jacob; Gennifer E. Merrihew; Chris Hsu; Nick Shulman; Brendan MacLean; Lilian R. Heil; Kathleen L. Poston; Tom Montine; Michael J. MacCoss
Carafe2 enables high quality <i>in silico</i> spectral library generation for timsTOF data-independent acquisition proteomics,2026,bioRxiv (Cold Spring Harbor Laboratory),preprint,Bo Wen; J. Sebastian Paez; Chris Hsu; Daniele Canzani; Alexis Taylor Chang; Nicholas Shulman; Brendan MacLean; Matthew D. Berg; Judit Villén; William E. Fondrie; Lindsay K. Pino; Michael J. MacCoss; William Stafford Noble
ToxBase: A Multidimensional ToxCast Reference Database for High-Throughput Human Exposome Analysis,2026,Environmental Science & Technology,article,Ryan Nguyen; Griffin Rangel; Xingzhu Liu; Reuben A. Santoso; Amogh Bantwal; Dylan H. Ross; Ryan P. Seguin; Jennifer Liem; Yvonne S. Lin; Brian Pratt; Brendan MacLean; Michael J. MacCoss; Libin Xu
The ProteomeXchange consortium in 2026: making proteomics data FAIR,2025,Nucleic Acids Research,article,Eric W. Deutsch; Nuno Bandeira; Yasset Pérez‐Riverol; Vagisha Sharma; Jeremy Carver; Luis Mendoza; Deepti J Kundu; Chakradhar Bandla; Selvakumar Kamatchinathan; Suresh Hewapathirana; Zhi Sun; Shin Kawano; Shujiro Okuda; Brian Connolly; Brendan MacLean; Michael J. MacCoss; Tao Chen; Yunping Zhu; Yasushi Ishihama; Juan Antonio Vizcaíno
Carafe enables high quality in silico spectral library generation for data-independent acquisition proteomics,2025,Nature Communications,article,Bo Wen; Chris Hsu; David Shteynberg; Wen‐Feng Zeng; Michael Riffle; Alexis Chang; Miranda C. Mudge; Brook L. Nunn; Brendan MacLean; Matthew D. Berg; Judit Villén; Michael J. MacCoss; William Stafford Noble
Koina: Democratizing machine learning for proteomics research,2025,Nature Communications,article,Ludwig Lautenbacher; Kevin Yang; Tobias Kockmann; Christian Panse; Wassim Gabriel; Del Bold; Elias Kahl; Matthew Chambers; Brendan MacLean; Kai Li; Fengchao Yu; Brian C. Searle; Damien B. Wilburn; Mohammad Reza Zare Shahneh; Yuhui Hong; Haixu Tang; Mingxun Wang; Ralf Gabriels; Robbin Bouwmeester; Robbe Devreese; Jesse Angelis; Eduard Sabidó; Tobias Schmidt; Alexey I. Nesvizhskii; Mathias Wilhelm
Evaluation of a Prototype Orbitrap Astral Zoom Mass Spectrometer for Quantitative Proteomics─Beyond Identification Lists,2025,Journal of Proteome Research,article,Chris Hsu; Nicholas Shulman; Hamish Stewart; J. Petzoldt; Anna Pashkova; Deanna L. Plubell; Eduard Denisov; Bernd Hagedorn; Nicolaie Eugen Damoc; Brendan MacLean; Philip M. Remes; Jesse D. Canterbury; Alexander Makarov; Christian Hock; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
Evaluation of a prototype Orbitrap Astral Zoom mass spectrometer for quantitative proteomics – Beyond identification lists,2025,bioRxiv (Cold Spring Harbor Laboratory),preprint,Chris Hsu; Nicholas Shulman; Hamish Stewart; J. Petzoldt; Anna Pashkova; Deanna L. Plubell; Eduard Denisov; Bernd Hagedorn; Eugen Damoc; Brendan MacLean; Philip M. Remes; Jesse D. Canterbury; Alexander Makarov; Christian Hock; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
Proteomic Plasticity in the Coral <i>Montipora capitata</i> Gamete Bundles after Parent Thermal Bleaching,2025,Journal of Proteome Research,article,Emma Timmins‐Schiffman; Rayhan Khanna; Tanya Brown; Jenna Dilworth; Brendan MacLean; Miranda C. Mudge; Samuel J. White; Carly D. Kenkel; Lisa J. Rodrigues; Brook L. Nunn; Jacqueline L. Padilla‐Gamiño
Koina: Democratizing machine learning for proteomics research,2024,bioRxiv (Cold Spring Harbor Laboratory),preprint,Ludwig Lautenbacher; Kevin Yang; Tobias Kockmann; Christian Panse; Matthew Chambers; Elias Kahl; Fengchao Yu; Wassim Gabriel; Del Bold; Tobias Schmidt; Kai Li; Brendan MacLean; Alexey I. Nesvizhskii; Mathias Wilhelm
